,Acetate ,Isobutyrate ,Succinate ,Butyrate ,Glucose ,Propionate ,Lactate ,Formate ,Project,Reactor,Time_hr,Timepoint,Acetate_Feed,DisturbanceCarbs,Type,BlautiaHydro,Fasting
F5T0,30.569,1.0143,0.3487,0,1.2311,3.3572,1.9922,1.3121,MDb-MM,F5,0,T0,YES,NormalCarbohydrates,Batch,NO,NO
F6T0,23.6263,0.4267,0.0183,0.5121,0.7173,2.5108,1.541,0.3339,MDb-MM,F6,0,T0,YES,NormalCarbohydrates,Batch,NO,NO
F8T0,24.2707,8.0328,0.3892,0.5324,1.0347,2.7673,1.7647,1.4015,MDb-MM,F8,0,T0,YES,NormalCarbohydrates,Batch,NO,NO
F5T12,45.0441,0.6297,4.9724,6.973,0,10.0952,0,3.315,MDb-MM,F5,12,T12,YES,NormalCarbohydrates,Batch,NO,NO
F6T12,43.8167,1.3126,4.0297,7.516,0,7.7359,0,2.9573,MDb-MM,F6,12,T12,YES,NormalCarbohydrates,Batch,NO,NO
F8T12,46.5591,1.3022,5.1006,7.6815,0,10.7279,0,2.734,MDb-MM,F8,12,T12,YES,NormalCarbohydrates,Batch,NO,NO
F5T24,48.1357,1.5438,4.0192,9.1906,0.0036,15.2178,0.0977,0.2395,MDb-MM,F5,24,T24,YES,NormalCarbohydrates,Batch,NO,NO
F6T24,53.5898,1.4872,3.7979,9.9117,0,17.1253,0.2512,0.6622,MDb-MM,F6,24,T24,YES,NormalCarbohydrates,Batch,NO,NO
F8T24,51.4089,1.5815,4.1224,10.5695,0,16.8316,0.2588,1.2212,MDb-MM,F8,24,T24,YES,NormalCarbohydrates,Batch,NO,NO
F5T28,56.192,1.8443,5.7909,11.7138,0,18.356,0,1.4858,MDb-MM,F5,28,T28,YES,SipkeNormalCarbohydrates,Continous,NO,NO
F6T28,64.2186,2.2486,5.2668,15.4889,0,22.0544,0,1.2367,MDb-MM,F6,28,T28,YES,SipkeNormalCarbohydrates,Continous,NO,NO
F8T28,55.5354,1.854,4.5401,12.9745,0,22.1041,0,1.6304,MDb-MM,F8,28,T28,YES,SipkeNormalCarbohydrates,Continous,NO,NO
